epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.36855,2.56101,6.66636,1.78303,0.5532,0.30303,0.38044,0.25261,1.11455,2.43305,1.13085,0.00016,0.00016,0.08416
2,14.0026,1.05439,1.37836,1.11312,0.70526,0.43513,0.46003,0.31144,1.31096,2.91642,1.08652,0.000328366,0.000328366,0.0673284
3,20.8816,1.00289,1.1528,1.04391,0.92296,0.62121,0.793,0.61491,0.98632,0.92427,1.04007,0.00049505,0.00049505,0.050495
4,27.7644,0.8967,1.09326,1.02315,0.91863,0.66667,0.77334,0.62175,0.64457,0.80477,0.92152,0.00066005,0.00066005,0.0336601
5,34.6385,0.83722,0.94858,0.98452,0.82177,0.65152,0.76506,0.60165,0.7183,1.04605,0.95446,0.000823368,0.000823368,0.0168234
6,40.6738,0.83041,0.8522,0.96351,0.66511,0.59091,0.66848,0.52487,0.84738,1.17961,1.15896,0.00097525,0.00097525,0.00097525
7,46.7123,0.84932,0.80522,0.96317,0.63597,0.39394,0.38079,0.26366,1.17743,1.61434,1.53077,0.0009703,0.0009703,0.0009703
8,52.976,0.85079,0.77729,0.96105,0.75893,0.57245,0.63315,0.48043,0.77939,0.92438,1.08249,0.00096535,0.00096535,0.00096535
9,59.4665,0.82624,0.77473,0.96164,0.72558,0.4407,0.48261,0.38563,1.04996,2.88731,1.16748,0.0009604,0.0009604,0.0009604
10,65.5788,0.81803,0.76588,0.93598,0.8705,0.66667,0.75394,0.60817,0.94905,0.9977,1.05043,0.00095545,0.00095545,0.00095545
11,72.7678,0.82402,0.72643,0.94708,0.79357,0.81549,0.86421,0.67183,0.92848,0.91423,0.99669,0.0009505,0.0009505,0.0009505
12,79.6439,0.80249,0.75565,0.97126,0.75699,0.86364,0.88961,0.73856,0.76095,0.63076,0.94656,0.00094555,0.00094555,0.00094555
13,86.5734,0.78259,0.72549,0.93044,0.88535,0.70211,0.82444,0.6927,0.56085,0.9126,0.90075,0.0009406,0.0009406,0.0009406
14,92.673,0.74684,0.66942,0.90319,0.8318,0.84848,0.8709,0.70302,0.5696,0.71402,0.91179,0.00093565,0.00093565,0.00093565
15,98.7473,0.77567,0.69483,0.91467,0.90124,0.65152,0.80331,0.61906,0.88148,1.14966,0.96492,0.0009307,0.0009307,0.0009307
16,104.877,0.80443,0.69763,0.92173,0.97988,0.73799,0.87646,0.72313,0.74631,0.63783,0.95762,0.00092575,0.00092575,0.00092575
17,110.976,0.78646,0.67511,0.89934,0.92948,0.79886,0.87191,0.75202,0.67213,0.63239,0.90676,0.0009208,0.0009208,0.0009208
18,117.879,0.70365,0.59082,0.88996,0.92596,0.89394,0.95212,0.79124,0.67002,0.49033,0.93168,0.00091585,0.00091585,0.00091585
19,124.817,0.73652,0.59471,0.88902,0.91628,0.82916,0.9144,0.7633,0.54806,0.79518,0.87945,0.0009109,0.0009109,0.0009109
20,130.956,0.73852,0.58758,0.8948,0.93641,0.90909,0.95606,0.8299,0.46684,0.49363,0.8617,0.00090595,0.00090595,0.00090595
21,138.018,0.70678,0.58647,0.89418,0.89977,0.89394,0.93897,0.80957,0.48759,0.43689,0.83626,0.000901,0.000901,0.000901
22,144.156,0.7432,0.61437,0.89012,0.94782,0.90909,0.95704,0.80431,0.52177,0.45884,0.8563,0.00089605,0.00089605,0.00089605
23,150.232,0.73807,0.60219,0.88948,0.96416,0.90909,0.97113,0.81971,0.53893,0.38007,0.84549,0.0008911,0.0008911,0.0008911
24,156.353,0.71459,0.55621,0.87704,0.95535,0.93939,0.97688,0.83614,0.42158,0.38617,0.81381,0.00088615,0.00088615,0.00088615
25,163.274,0.70373,0.54233,0.87642,0.931,0.95455,0.98146,0.8649,0.498,0.36862,0.81602,0.0008812,0.0008812,0.0008812
26,171.447,0.66039,0.54132,0.88066,0.96641,0.93939,0.98243,0.837,0.54127,0.38273,0.84542,0.00087625,0.00087625,0.00087625
27,177.552,0.67083,0.5622,0.87692,0.98063,0.9697,0.98424,0.85437,0.46635,0.34165,0.83755,0.0008713,0.0008713,0.0008713
28,183.616,0.65313,0.54873,0.87578,0.98772,0.89394,0.98183,0.85616,0.46975,0.37518,0.83055,0.00086635,0.00086635,0.00086635
29,189.697,0.66568,0.54904,0.87379,0.96829,0.92537,0.97901,0.83673,0.52245,0.49557,0.84633,0.0008614,0.0008614,0.0008614
30,195.784,0.63361,0.5094,0.86857,0.95128,0.88763,0.97353,0.86358,0.44036,0.42596,0.8208,0.00085645,0.00085645,0.00085645
31,201.836,0.64789,0.5297,0.85921,0.8924,0.9697,0.9739,0.8576,0.42182,0.40235,0.80545,0.0008515,0.0008515,0.0008515
32,207.914,0.62123,0.50272,0.85879,0.9976,0.89394,0.96151,0.82467,0.48686,0.36617,0.841,0.00084655,0.00084655,0.00084655
33,214.031,0.6258,0.50185,0.8579,0.96949,0.96305,0.97876,0.86188,0.46306,0.34779,0.80953,0.0008416,0.0008416,0.0008416
34,220.097,0.63296,0.52392,0.86615,0.96868,0.93723,0.9707,0.81756,0.52128,0.41192,0.82805,0.00083665,0.00083665,0.00083665
35,226.265,0.65342,0.53832,0.86117,0.98787,0.92424,0.981,0.8377,0.47404,0.36677,0.8316,0.0008317,0.0008317,0.0008317
